,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
124,16816.9,2569.36,1018.94,9.0,95.0,199.0,499.51,877.83,603.85,1109.55,27.0,0.77,6105.0,0.65,1.53,69.05,1.12,12739.6,pyramidal_neocortex
125,9507.04,900.2,1018.94,8.0,74.0,156.0,1021.98,785.31,849.34,1249.33,8.0,0.77,4784.0,0.5,1.62,78.1,1.12,9889.34,pyramidal_neocortex
126,22395.9,5089.17,960.8589999999999,10.0,179.0,368.0,513.67,1066.13,706.36,1217.15,18.0,0.79,8077.0,0.54,1.53,70.27,1.11,17298.09,pyramidal_neocortex
127,19913.59,1501.06,684.0010000000001,6.0,178.0,362.0,1076.3,1016.57,940.65,2011.16,27.0,0.81,11626.0,0.62,1.82,73.2,1.1,24072.2,pyramidal_neocortex
128,5084.45,454.95,917.7739999999999,6.0,77.0,160.0,468.53,343.74,438.92,640.1,17.0,0.82,20669.0,0.55,1.73,75.07,1.03,8179.43,Others
129,20272.59,3234.18,942.597,13.0,174.0,361.0,224.59,294.55,215.93,488.48,15.0,0.79,12562.0,0.45,1.7,81.97,1.04,11662.4,Others
130,8118.44,1092.59,551.014,4.0,71.0,146.0,226.81,618.87,419.75,459.22,13.0,0.81,5536.0,0.49,1.55,78.44,1.03,5987.92,Others
132,17785.09,1199.08,896.633,6.0,413.0,832.0,542.63,357.9,413.86,649.38,28.0,0.82,12757.0,0.63,1.95,73.7,1.07,21973.8,Others
134,16063.7,1275.99,562.018,6.0,220.0,446.0,544.31,430.96,515.47,1555.25,21.0,0.67,9225.0,0.56,1.95,78.94,1.16,19065.7,Others
135,9634.11,1155.0,623.871,8.0,134.0,276.0,304.81,616.8,492.17,810.86,10.0,0.79,5332.0,0.5,1.62,73.63,1.09,9809.17,Others
136,4068.75,381.17,678.895,5.0,31.0,67.0,275.84,274.48,218.58,505.95,9.0,0.75,2286.0,0.47,1.44,75.31,1.08,4355.0,Others
137,26777.9,3019.51,834.36,10.0,191.0,392.0,666.33,1124.5,884.29,1861.13,21.0,0.76,11557.0,0.59,1.71,78.03,1.11,27367.7,pyramidal_neocortex
138,10148.1,759.64,979.493,7.0,109.0,225.0,839.85,313.19,728.1,1056.88,12.0,0.76,6889.0,0.46,1.73,76.46,1.1,12324.2,pyramidal_neocortex
139,6369.73,626.1,858.8689999999999,10.0,59.0,128.0,265.32,366.68,306.64,786.17,13.0,0.75,3161.0,0.51,1.46,72.3,1.1,6445.83,Others
140,12541.8,1137.52,858.8689999999999,7.0,124.0,255.0,735.97,736.97,629.59,911.0,15.0,0.75,7130.0,0.48,1.69,74.15,1.11,13499.9,Others
141,3185.46,389.2,423.561,4.0,34.0,72.0,653.55,295.66,699.73,742.62,12.0,0.81,1128.0,0.55,1.49,80.81,1.09,3183.01,Others
142,6284.66,548.55,464.283,9.0,91.0,191.0,816.45,879.86,999.88,1304.9,14.0,0.82,3749.0,0.57,1.76,83.94,1.08,7575.62,Others
144,10703.6,887.04,601.0980000000001,8.0,74.0,156.0,808.79,1374.42,1292.38,1596.52,11.0,0.77,7086.0,0.47,1.77,81.89,1.08,12905.6,Others
145,14516.4,1193.86,666.847,5.0,101.0,207.0,339.68,1345.3,908.62,1111.31,19.0,0.82,3590.0,0.58,2.01,78.62,1.06,16436.7,Others
148,6096.74,644.33,793.5110000000001,7.0,43.0,93.0,504.0,552.31,519.38,857.15,8.0,0.81,1641.0,0.47,1.85,82.28,1.06,5498.69,Others
149,17000.3,1111.85,588.53,6.0,250.0,506.0,1156.02,1089.81,1040.08,1652.45,26.0,0.75,14399.0,0.71,1.96,87.79,1.11,21820.3,Others
151,5928.66,615.69,422.89300000000003,6.0,72.0,150.0,319.22,608.4,585.96,869.78,16.0,0.82,3527.0,0.67,1.75,82.85,1.08,6304.7,pyramidal_neocortex
152,12097.2,959.75,588.992,6.0,91.0,188.0,826.38,954.92,662.01,1468.8,14.0,0.78,6968.0,0.49,1.81,85.17,1.08,14476.4,pyramidal_neocortex
153,6072.56,610.29,412.274,5.0,66.0,137.0,550.67,512.51,486.21,1100.51,14.0,0.86,2732.0,0.7,1.74,76.14,1.06,6760.69,pyramidal_neocortex
155,13338.3,923.98,718.2510000000001,10.0,166.0,342.0,585.78,625.27,692.18,1247.81,18.0,0.8,8481.0,0.65,1.88,71.07,1.1,16715.2,pyramidal_neocortex
156,10432.7,911.34,716.592,6.0,96.0,198.0,949.48,740.61,815.86,1159.45,16.0,0.79,5174.0,0.48,1.78,75.11,1.08,12452.7,pyramidal_neocortex
159,10145.7,713.7,610.7130000000001,9.0,84.0,177.0,1043.53,697.36,867.66,1358.97,14.0,0.78,6774.0,0.48,1.87,80.22,1.1,12594.0,Others
160,14562.9,1274.15,926.6669999999999,6.0,205.0,416.0,742.78,563.98,601.77,908.44,23.0,0.75,8195.0,0.54,1.9,80.63,1.11,16336.2,Somatostatin (SOM)-positive
161,40749.69,3017.99,1419.96,10.0,502.0,1014.0,748.2,570.57,575.31,1019.95,26.0,0.85,15240.0,0.5,1.92,75.86,1.06,49579.6,Others
162,17909.8,1465.98,921.797,9.0,257.0,523.0,267.02,460.42,387.3,504.67,17.0,0.84,7040.0,0.49,1.94,77.4,1.06,20879.0,Others
163,17163.4,2998.66,999.569,6.0,85.0,176.0,795.8,754.71,707.47,1027.53,14.0,0.75,7004.0,0.47,1.52,78.03,1.12,12799.5,pyramidal_neocortex
164,19286.59,1636.22,624.5269999999999,8.0,167.0,342.0,1899.21,1233.78,1300.31,2075.63,20.0,0.75,11987.0,0.58,1.72,79.27,1.14,21975.0,pyramidal_neocortex
167,7820.14,807.03,834.341,6.0,61.0,128.0,294.53,761.52,615.95,855.4,19.0,0.77,4333.0,0.45,1.6,72.57,1.1,8708.99,pyramidal_neocortex
168,7797.69,557.35,834.342,6.0,63.0,132.0,599.01,722.03,625.82,1088.49,10.0,0.78,5018.0,0.47,1.77,73.32,1.08,9615.66,pyramidal_neocortex
170,4721.68,401.79,523.6030000000001,5.0,51.0,107.0,572.29,950.02,705.97,1167.86,16.0,0.82,2944.0,0.59,1.7,78.27,1.09,5388.29,pyramidal_neocortex
171,19991.2,1583.03,999.48,10.0,190.0,390.0,963.04,1065.93,928.36,1422.3,20.0,0.78,13160.0,0.62,1.83,83.63,1.09,24184.7,pyramidal_neocortex
174,965.93,56.24,84.9813,9.0,45.0,99.0,57.6,82.41,53.62,142.85,8.0,0.69,2645.0,0.47,1.96,95.8,1.09,1536.23,Others
175,569.11,61.57,103.184,6.0,30.0,66.0,53.32,397.39,358.63,434.16,5.0,0.8,2302.0,0.4,29.41,72.66,1.05,1623.04,pyramidal_neocortex
176,717.71,93.6,115.76799999999999,6.0,8.0,22.0,45.73,87.41,68.97,113.09,2.0,0.73,1184.0,0.25,1.39,79.79,1.04,536.3,Others
177,2500.3,424.59,179.458,4.0,28.0,60.0,73.05,156.32,125.26,231.18,7.0,0.79,1323.0,0.46,1.73,66.53,1.04,1496.21,Others
178,1539.57,134.25,233.27200000000002,5.0,50.0,105.0,189.59,88.29,159.74,277.02,11.0,0.73,2320.0,0.41,2.0,65.13,1.07,2041.44,Others
179,1382.51,216.2,114.26299999999999,8.0,24.0,56.0,54.31,73.2,98.4,136.25,8.0,0.78,855.0,0.54,1.7,83.6,1.07,1056.68,Others
183,2540.81,293.02,177.209,5.0,31.0,67.0,166.98,164.51,141.04,206.22,8.0,0.77,3192.0,0.64,1.49,73.27,1.05,2194.42,Others
184,711.28,116.13,137.795,6.0,8.0,22.0,51.86,91.41,87.52,131.39,4.0,0.78,579.0,0.5,1.48,78.19,1.05,538.2,Others
185,3508.54,613.76,155.791,8.0,25.0,58.0,144.05,159.46,134.42,247.07,4.0,0.81,2690.0,0.42,1.68,71.65,1.05,1867.78,Others
186,1540.0,214.18,121.34,7.0,19.0,45.0,66.82,118.01,87.74,105.11,5.0,0.79,1499.0,0.52,1.58,78.51,1.04,1141.05,Others
187,315.86,28.04,85.1252,6.0,4.0,14.0,51.44,79.01,67.1,100.12,3.0,0.76,469.0,0.5,0.95,75.75,1.08,373.96,Others
188,621.95,120.86,85.1252,4.0,5.0,14.0,49.1,51.67,79.32,99.34,3.0,0.79,375.0,0.1,1.02,68.3,1.04,360.97,Others
189,384.06,29.3,97.27799999999999,6.0,10.0,26.0,59.66,90.12,67.57,196.26,6.0,0.78,876.0,0.45,1.73,83.11,1.03,551.87,Others
193,1873.21,315.33,252.235,9.0,14.0,37.0,72.77,98.61,78.89,98.75,2.0,0.77,1387.0,0.28,3.94,73.56,1.03,1133.64,Others
194,2703.06,356.15,252.235,9.0,27.0,63.0,89.08,115.21,90.47,140.81,5.0,0.77,2466.0,0.28,1.67,81.33,1.03,1849.15,Others
195,1346.79,156.98,131.123,6.0,11.0,28.0,88.49,183.1,110.07,201.43,4.0,0.75,1588.0,0.21,1.79,94.02,1.04,1162.54,Others
196,472.34,43.33,93.4707,5.0,13.0,31.0,63.01,117.47,71.2,105.26,6.0,0.8,908.0,0.64,1.67,77.42,1.05,517.54,Others
199,1137.3,132.22,86.6139,9.0,10.0,29.0,91.09,124.76,87.77,113.77,4.0,0.78,1481.0,0.5,1.41,61.05,1.02,926.26,Others
200,882.58,143.47,154.27200000000002,8.0,8.0,24.0,75.3,84.31,66.69,92.28,2.0,0.8,1027.0,0.37,1.49,82.75,1.05,629.73,Others
203,1210.76,212.34,102.675,5.0,9.0,23.0,36.22,134.59,101.62,135.25,3.0,0.81,877.0,0.55,1.61,77.03,1.07486,595.85,Others
204,1970.52,285.06,30.9078,8.0,18.0,44.0,77.35,203.09,145.89,242.91,6.0,0.81,1905.0,0.54,1.71,85.66,1.03,1340.29,Others
207,1744.45,204.06,131.08700000000002,7.0,13.0,33.0,123.35,420.42,221.5,282.72,6.0,0.84,1889.0,0.46,1.42,71.05,1.04,1379.19,pyramidal_neocortex
208,770.75,97.3,103.439,7.0,7.0,21.0,45.07,65.0,45.2,94.86,2.0,0.76,622.0,0.42,1.62,55.29,1.05,534.66,Others
